,0,1,drugs,Accession Number in DrugBank,
44,45,0.999961019,Daclatasvir,DB09102,
28,29,0.999956846,Carfilzomib,DB08889,
186,187,0.999956012,Prednisone,DB00635,不可以抑制
130,131,0.999925673,Quercetin,DB04216,
182,183,0.999868155,Suramin,DB04786,
193,194,0.999852061,Posaconazole,DB01263,不可
60,61,0.999822259,Emtricitabine,DB00879,无
192,193,0.999795675,Telaprevir,DB05521,
116,117,0.999760866,Oxymetholone,DB06412,
5,6,0.999217212,Amikacin,DB00479,
96,97,0.998887539,Mefloquine,DB00358,
105,106,0.998530269,Mycophenolate Mofetil,DB00688,
109,110,0.998181522,Nevirapine,DB00238,
95,96,0.99793452,Maribavir,DB06234,
159,160,0.997733355,Tipranavir,DB00932,
41,42,0.996927857,Colchicine,DB01394,
150,151,0.996805191,Tacrolimus,DB00864,
104,105,0.996632695,Moxifloxacin,DB00218,
57,58,0.996157348,Elvitegravir,DB09101,
119,120,0.995990872,Peramivir,DB06614,
128,129,0.995911956,Px-12,DB05448,
2,3,0.995072842,Acyclovir,DB00787,
189,190,0.993852913,Clevudine,DB06683,
216,217,0.993053734,Conivaptan,DB00872,
101,102,0.992435336,Mizoribine,DB12617,
215,216,0.99226284,Atovaquone,DB01117,
121,122,0.991926253,Phenothiazine,DB11447,
146,147,0.99185729,Sirolimus,DB00877,
72,73,0.991841376,Gemcitabine,DB00441,
144,145,0.991725683,Saracatinib,DB11805,
131,132,0.991724133,Quinacrine,DB01103,
172,173,0.991665542,Velpatasvir,DB11613,
88,89,0.991653383,Lapatinib,DB01259,
191,192,0.991626263,Ouabain,DB01092,
37,38,0.991620541,Ciclosporin A,DB00091,
14,15,0.991600633,Astemizole,DB00637,
76,77,0.991575599,Gonadorelin,DB00644,
22,23,0.991565228,Bleomycin,DB00290,
55,56,0.991530299,Elbasvir,DB11574,
171,172,0.991508663,Vapreotide,DB04894,
43,44,0.991500735,Dabigatran Etexilate,DB06695,
54,55,0.991350174,Efavirenz,DB00625,
103,104,0.990171492,Montelukast,DB00471,
149,150,0.988886476,Sulfamethoxazole,DB01015,
7,8,0.987403572,Amiodarone,DB01118,
84,85,0.985695064,Irbesartan,DB01029,
190,191,0.985227704,Chlorpromazine,DB00477,
13,14,0.984359026,Aprepitant,DB00673,
80,81,0.983282685,Hydroxychloroquine,DB01611,
68,69,0.982030511,Fluphenazine,DB00623,
141,142,0.981857419,Rimantadine,DB00478,
91,92,0.980956137,Lomitapide,DB08827,
34,35,0.980844617,Chloroquine,DB00608,
160,161,0.979692698,Toremifene,DB00539,
0,1,0.979639351,6-Azauridine,DB03718,
